$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label
20201.0,58.0,16997.0,54974.0,3.0,94219.0,4,s6/mu10minus5
2548.0,0.0,80359.0,20076.0,2.0,103109.0,4,s6/mu10minus5
5683.0,608.0,96964.0,7193.0,2.0,111099.0,4,s6/mu10minus5
62533.0,0.0,672.0,32047.0,2.0,95254.0,4,s6/mu10minus5
80195.0,1491.0,0.0,16816.0,2.0,98586.0,4,s6/mu10minus5
21261.0,1689.0,59230.0,21802.0,0.0,107060.0,4,s6/mu10minus5
7400.0,105.0,53687.0,31924.0,3.0,93120.0,4,s6/mu10minus5
1655.0,365.0,41600.0,45189.0,3.0,92056.0,4,s6/mu10minus5
21849.0,1758.0,71958.0,226.0,3.0,95794.0,4,s6/mu10minus5
26337.0,1880.0,77780.0,13818.0,2.0,120125.0,4,s6/mu10minus5
9322.0,1654.0,56240.0,24748.0,2.0,91966.0,4,s6/mu10minus5
999.0,0.0,105700.0,2597.0,3.0,109499.0,4,s6/mu10minus5
71355.0,2606.0,0.0,23002.0,4.0,96967.0,4,s6/mu10minus5
8623.0,248.0,38883.0,31978.0,2.0,80103.0,4,s6/mu10minus5
6266.0,0.0,101425.0,4197.0,3.0,111891.0,4,s6/mu10minus5
1735.0,78.0,92230.0,8088.0,3.0,102134.0,4,s6/mu10minus5
81591.0,678.0,25597.0,3129.0,2.0,113186.0,4,s6/mu10minus5
43103.0,0.0,49140.0,1242.0,3.0,94819.0,4,s6/mu10minus5
5497.0,70.0,40991.0,49545.0,2.0,96956.0,4,s6/mu10minus5
1457.0,0.0,72635.0,8455.0,0.0,84013.0,4,s6/mu10minus5
5045.0,124.0,46094.0,34453.0,2.0,85718.0,4,s6/mu10minus5
1012.0,0.0,46499.0,61901.0,3.0,109415.0,4,s6/mu10minus5
2878.0,0.0,66224.0,23875.0,2.0,93220.0,4,s6/mu10minus5
33863.0,146.0,55093.0,9673.0,2.0,98788.0,4,s6/mu10minus5
61899.0,1612.0,19575.0,21067.0,2.0,104164.0,4,s6/mu10minus5
90698.0,730.0,91.0,7513.0,2.0,102343.0,4,s6/mu10minus5
53789.0,1347.0,38160.0,341.0,3.0,94672.0,4,s6/mu10minus5
81455.0,1017.0,259.0,13446.0,3.0,96215.0,4,s6/mu10minus5
22889.0,997.0,50766.0,36254.0,2.0,110994.0,4,s6/mu10minus5
14280.0,2545.0,69989.0,14554.0,2.0,101463.0,4,s6/mu10minus5
63562.0,1103.0,30070.0,4577.0,2.0,101946.0,4,s6/mu10minus5
6837.0,0.0,90209.0,100.0,3.0,98380.0,4,s6/mu10minus5
4983.0,0.0,39792.0,56244.0,3.0,101078.0,4,s6/mu10minus5
